search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&before=priority:20240308&after=priority:20200101&clustered=true&dups=language&sort=old
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
RU-2726219-C1,Method for guidance and focusing of radiation on a target and device for its implementation ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Научно-исследовательский институт оптико-электронного приборостроения"" (АО ""НИИ ОЭП"")","Владимир Григорьевич Бородин, Вячеслав Михайлович Мигель, Владимир Геннадьевич Филиппов",2020-01-09,2020-01-09,2020-07-10,2020-07-10,https://patents.google.com/patent/RU2726219C1/en,https://patentimages.storage.googleapis.com/a3/62/e8/d688e958c24054/00000017.png
CN-111222278-A,Simulation method for generating finite element grid based on Tokamak balance ,大连理工大学,"王正汹, 汤炜康, 胡朝清, 王丰, 刘桐",2020-01-13,2020-01-13,2020-06-02,,https://patents.google.com/patent/CN111222278A/en,https://patentimages.storage.googleapis.com/8c/60/24/a76e1deaa26367/HDA0002363810250000011.png
CN-111222278-B,Simulation method for generating finite element grid based on Tokamak balance ,大连理工大学,"王正汹, 汤炜康, 胡朝清, 王丰, 刘桐",2020-01-13,2020-01-13,2022-10-21,2022-10-21,https://patents.google.com/patent/CN111222278B/en,https://patentimages.storage.googleapis.com/73/4f/2a/f022a3ca2bfd3b/HDA0002363810250000011.png
CN-111243766-A,Tritium trapping device of molten salt cooling nuclear reactor and working method ,西安交通大学,"王成龙, 秦浩, 秋穗正, 田文喜, 苏光辉",2020-01-16,2020-01-16,2020-06-05,,https://patents.google.com/patent/CN111243766A/en,https://patentimages.storage.googleapis.com/75/54/b6/890223a8b3fbf8/HDA0002369142670000011.png
KR-20210093506-A,Nuclear fusion device where nuclear fusion is achieved through the compression of high temperature plasma of D+T fuel with pulsed laser beams and hypervelocity bullet(s) ,전홍석,전홍석,2020-01-20,2020-01-20,2021-07-28,,https://patents.google.com/patent/KR20210093506A/en,https://patentimages.storage.googleapis.com/08/29/53/ac3fbdacb14cad/pat00001.png
GB-2579466-A,Vacuum chamber seal ,First Light Fusion Ltd,"Holligan Paul, Parkin James, Darling Jamie, Caballero Bendixsen Luis, Hall Oliver",2020-01-24,2020-01-24,2020-06-24,,https://patents.google.com/patent/GB2579466A/en,
GB-202001054-D0,Vacuum chamber seal ,First Light Fusion Ltd,,2020-01-24,2020-01-24,2020-03-11,,https://patents.google.com/patent/GB202001054D0/en,
GB-2579466-B,Vacuum chamber seal ,First Light Fusion Ltd,"Holligan Paul, Parkin James, Darling Jamie, Caballero Bendixsen Luis, Hall Oliver",2020-01-24,2020-01-24,2021-09-01,2021-09-01,https://patents.google.com/patent/GB2579466B/en,
RU-2726940-C1,Thermonuclear reactor vacuum chamber ,"Федеральное государственное бюджетное учреждение ""Национальный исследовательский центр ""Курчатовский институт""","Борис Васильевич Кутеев, Александр Юрьевич Пашков, Юрий Сергеевич Шпанский",2020-01-31,2020-01-31,2020-07-17,2020-07-17,https://patents.google.com/patent/RU2726940C1/en,https://patentimages.storage.googleapis.com/02/bb/54/84d40c55881d02/00000002.png
WO-2021155500-A1,Explosive article power generation method ,王建国,王建国,2020-02-05,2020-02-05,2021-08-12,,https://patents.google.com/patent/WO2021155500A1/en,
CN-114097042-A,Explosive power generation method ,王建国,王建国,2020-02-05,2020-02-05,2022-02-25,,https://patents.google.com/patent/CN114097042A/en,
CN-111257351-A,Irradiation water-cooling sample platform ,大连理工大学,"刘东平, 牛春杰",2020-02-11,2020-02-11,2020-06-09,,https://patents.google.com/patent/CN111257351A/en,https://patentimages.storage.googleapis.com/57/48/27/f514b729b1eaa4/HDA0002382268340000011.png
CN-111257351-B,Irradiation water-cooling sample platform ,大连理工大学,"刘东平, 牛春杰",2020-02-11,2020-02-11,2021-12-03,2021-12-03,https://patents.google.com/patent/CN111257351B/en,https://patentimages.storage.googleapis.com/ca/05/d6/aaf28d9af5cb3c/HDA0002382268340000011.png
CN-111192695-A,Tokamak device track detection system based on piezoelectric drive ,南京航空航天大学,"王亮, 冯浩人, 王瑞锋, 金家楣, 郝博, 王鑫",2020-02-24,2020-02-24,2020-05-22,,https://patents.google.com/patent/CN111192695A/en,https://patentimages.storage.googleapis.com/9f/46/f9/79d802b2c709f1/HDA0002390070870000011.png
RU-198527-U1,Fusion reactor first wall panel ,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии ""Росатом""",Владимир Юрьевич Колганов,2020-03-02,2020-03-02,2020-07-14,2020-07-14,https://patents.google.com/patent/RU198527U1/en,https://patentimages.storage.googleapis.com/7b/7d/3a/04ac5fe6f3de1a/00000002.png
RU-2735945-C1,Centrifugal injector of thermonuclear fuel macroparticles ,Игорь Васильевич ВИНЯР,Игорь Васильевич ВИНЯР,2020-03-03,2020-03-03,2020-11-11,2020-11-11,https://patents.google.com/patent/RU2735945C1/en,https://patentimages.storage.googleapis.com/ce/82/b2/f047e53e3ca009/00000003.png
CN-111254339-A,Five-tungsten-series high-entropy alloy and preparation method thereof ,中国工程物理研究院材料研究所,"黄河, 黄火根, 张佳佳, 俞鑫山, 石洁, 法涛, 徐海燕, 蒙大桥",2020-03-06,2020-03-06,2020-06-09,,https://patents.google.com/patent/CN111254339A/en,https://patentimages.storage.googleapis.com/80/ae/9b/ff8326c54a1e6c/200306111830.png
GB-2592920-A,Removable spacer ,United Kingdom Atomic Energy Authority,"Paul Corran Morrison Alasdair, Parsons Michael, Lewtas Heather, Kirk Simon",2020-03-09,2020-03-09,2021-09-15,,https://patents.google.com/patent/GB2592920A/en,
