search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&before=priority:20191231&after=priority:20100101&clustered=true&dups=language&sort=old
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-4807536-B2,"Hydrogen combustion catalyst, method for producing the same, and hydrogen combustion method ","独立行政法人日本原子力研究開発機構, 田中貴金属工業株式会社","宏史 野口, 淳一 谷内, 仁志 久保, 保則 岩井, 克美 佐藤",2010-01-07,2010-01-07,2011-11-02,2011-11-02,https://patents.google.com/patent/JP4807536B2/en,https://patentimages.storage.googleapis.com/63/ec/15/03595bf82a409e/0004807536-7.png
JP-2011139991-A,"Hydrogen combustion catalyst, method for producing the same and hydrogen combustion method ","Japan Atomic Energy Agency, 独立行政法人  日本原子力研究開発機構, Tanaka Kikinzoku Kogyo Kk, 田中貴金属工業株式会社","Hiroshi Noguchi, 宏史 野口, Junichi Yanai, 淳一 谷内, Hitoshi Kubo, 仁志 久保, Yasunori Iwai, 保則 岩井, Katsumi Sato, 克美 佐藤",2010-01-07,2010-01-07,2011-07-21,,https://patents.google.com/patent/JP2011139991A/en,https://patentimages.storage.googleapis.com/ae/06/f7/3397ed48c65fcb/2011139991-8.png
US-2011170649-A1,Magnetic confinement device with aluminum or aluminum-alloy magnets ,"Kotschenreuther Michael T, Valanju Prashant M, Mahajan Swadesh M","Michael T. Kotschenreuther, Prashant M. Valanju, Swadesh M. Mahajan",2010-01-11,2010-01-11,2011-07-14,,https://patents.google.com/patent/US20110170649A1/en,https://patentimages.storage.googleapis.com/ef/10/f1/0b3489fd5038a5/US20110170649A1-20110714-D00000.png
ES-2393557-B1,THERMONUCLEAR REACTOR STELLARATOR MULTICÁMARA VERTICAL. ,Vicente Manuel Queral Mas,Vicente Manuel Queral Mas,2010-01-16,2010-01-16,2013-11-06,2013-11-06,https://patents.google.com/patent/ES2393557B1/en,
ES-2393557-A1,"Reactor thermonuclear stellarator multic¿mara vertical. (Machine-translation by Google Translate, not legally binding) ",Vicente Manuel Queral Mas,Vicente Manuel Queral Mas,2010-01-16,2010-01-16,2012-12-26,,https://patents.google.com/patent/ES2393557A1/en,
DE-202010001909-U1,Plant for the generation of ion collisions in opposing ion currents ,"Bakal, Semen, Dr.",,2010-02-02,2010-02-02,2010-10-21,,https://patents.google.com/patent/DE202010001909U1/en,
DE-102010006951-A1,"System for generating ion collisions in counter-proceeding ion current, comprises one magnetic coil which has greater number of turns as compared to another magnetic coil, where ion concentration exceeds maximum value in outer layers ","Bakal, Semen, Dr., 10555",Semen Bakal,2010-02-02,2010-02-02,2011-08-04,,https://patents.google.com/patent/DE102010006951A1/en,https://patentimages.storage.googleapis.com/08/cd/64/ef84493f8849a5/00090000.png
WO-2011096834-A1,Method for performing a thermonuclear synthesis reaction ,Kurenya Aleksandr Nikolaevich,Александр Николаевич КУРЕНЯ,2010-02-03,2010-02-03,2011-08-11,,https://patents.google.com/patent/WO2011096834A1/en,
US-8576971-B2,Laser fusion neutron source employing compression with short pulse lasers ,"Lawrence Livermore National Security, Llc","Joseph A. Sefcik, Scott C. Wilks",2010-04-23,2010-04-23,2013-11-05,2013-11-05,https://patents.google.com/patent/US8576971B2/en,https://patentimages.storage.googleapis.com/9e/8f/24/e50c05c7030e2e/US08576971-20131105-D00000.png
US-2011261919-A1,Laser fusion neutron source employing compression with short pulse lasers ,"Lawrence Livermore National Security, Llc","Joseph A. Sefcik, Scott C. Wilks",2010-04-23,2010-04-23,2011-10-27,,https://patents.google.com/patent/US20110261919A1/en,https://patentimages.storage.googleapis.com/64/4a/21/9e9359a72e5c97/US20110261919A1-20111027-D00000.png
