search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&before=priority:20091231&after=priority:20000101&clustered=true&dups=language&sort=old
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2415137-A1,An electromagnetic radiation-initiated plasma reactor ,"Crt Holdings, Inc., H. Stephen Shehane, Rick Bernard Spielman, Jean-Francais P. Leon, Mike Fraim","H. Stephen Shehane, Rick Bernard Spielman, Jean-Francais P. Leon, Mike Fraim",2000-07-05,2001-07-05,2002-01-10,,https://patents.google.com/patent/CA2415137A1/en,
WO-0203417-A3,An electromagnetic radiation-initiated plasma reactor ,"Crt Holdings Inc, H Stephen Shehane, Rick Bernard Spielman, Jean-Francais P Leon, Mike Fraim","H Stephen Shehane, Rick Bernard Spielman, Jean-Francais P Leon, Mike Fraim",2000-07-05,2001-07-05,2003-01-09,,https://patents.google.com/patent/WO2002003417A3/en,
EP-1312247-A2,An electromagnetic radiation-initiated plasma reactor ,"CRT Holdings, Inc.","H. Stephen Shehane, Rick Bernard Spielman, Jean-Francais P. Leon, Mike Fraim",2000-07-05,2001-07-05,2003-05-21,,https://patents.google.com/patent/EP1312247A2/en,
JP-2004527727-A,Electromagnetic radiation activated plasma reactor ,シーアールティ  ホールディングス、インク,"ステファン シェハネ、エイチ, バーナード スピエルマン、リック, ピー レオン、ジャン−フランセ, マイク フレイム",2000-07-05,2001-07-05,2004-09-09,,https://patents.google.com/patent/JP2004527727A/en,https://patentimages.storage.googleapis.com/4e/11/f5/aa6264e7764b21/2004527727-4.png
RU-2192674-C1,"Cryogenic fuel layer, fuel core and its production process ","Осипов Игорь Евгеньевич, Тимашева Татьяна Петровна, Ягужинский Лев Сергеевич, Корешева Елена Ростиславовна, Крохин Олег Николаевич","И.Е. Осипов, Т.П. Тимашева, Л.С. Ягужинский, Е.Р. Корешева, О.Н. Крохин",2001-08-02,2001-08-02,2002-11-10,2002-11-10,https://patents.google.com/patent/RU2192674C1/en,https://patentimages.storage.googleapis.com/59/a1/53/404beb9a93fe2c/00000002.png
GB-0120280-D0,Low degradation rate linear geometry neutron generator appartus using plasma gas target ,Sved John,,2001-08-21,2001-08-21,2001-10-17,,https://patents.google.com/patent/GB0120280D0/en,
US-2002101949-A1,Nuclear fusion reactor incorporating spherical electromagnetic fields to contain and extract energy ,Nordberg John T.,John Nordberg,2000-08-25,2001-08-24,2002-08-01,,https://patents.google.com/patent/US20020101949A1/en,https://patentimages.storage.googleapis.com/9c/d1/59/7aa783deee77ff/US20020101949A1-20020801-D00000.png
JP-3799391-B2,"Method for manufacturing bonded body of beryllium and copper or copper alloy, and bonded body ","日本碍子株式会社, 独立行政法人  日本原子力研究開発機構","歳久 秦野, 孝治 岩立, 実 宇田",2001-10-01,2001-10-01,2006-07-19,2006-07-19,https://patents.google.com/patent/JP3799391B2/en,https://patentimages.storage.googleapis.com/64/dd/06/0c06464fe899bd/0003799391-4.png
JP-2003112269-A,"Method of manufacturing joined body of beryllium and copper or copper alloy, and this joined body ","Ngk Insulators Ltd, 日本碍子株式会社, Japan Atom Energy Res Inst, 日本原子力研究所","Toshihisa Hatano, 歳久 秦野, Koji Iwatate, 孝治 岩立, Minoru Uda, 宇田　　実",2001-10-01,2001-10-01,2003-04-15,,https://patents.google.com/patent/JP2003112269A/en,
US-2003085260-A1,"Bonded body comprising beryllium member and copper or copper alloy member, and method of manufacturing the same ","Toshihisa Hatano, Takaharu Iwadachi, Minoru Uda","Toshihisa Hatano, Takaharu Iwadachi, Minoru Uda",2001-10-01,2001-10-04,2003-05-08,,https://patents.google.com/patent/US20030085260A1/en,https://patentimages.storage.googleapis.com/8e/ea/aa/7ce74310cd8203/US20030085260A1-20030508-D00000.png
US-6824888-B2,"Bonded body comprising beryllium member and copper or copper alloy member, and method of manufacturing the same ","Ngk Insulators, Ltd.","Toshihisa Hatano, Takaharu Iwadachi, Minoru Uda",2001-10-01,2001-10-04,2004-11-30,2004-11-30,https://patents.google.com/patent/US6824888B2/en,https://patentimages.storage.googleapis.com/bc/d5/74/80cfad40e3d0ca/US06824888-20041130-D00000.png
KR-20010111064-A,fusion device and manufacturing method of the same ,강경창,강경창,2001-10-19,2001-10-19,2001-12-15,,https://patents.google.com/patent/KR20010111064A/en,
RU-2220463-C2,Thermonuclear reactor ,"Федеральное государственное унитарное предприятие ""Научно-исследовательский и конструкторский институт энерготехники им. Н.А. Доллежаля""","Г.К. Сысоев, А.В. Размеров",2001-10-23,2001-10-23,2003-12-27,2003-12-27,https://patents.google.com/patent/RU2220463C2/en,https://patentimages.storage.googleapis.com/f0/c1/9d/dc133a3f69f135/00000008.png
US-2003094911-A1,Methods and systems for generating high energy photons or quantum energy ,Chukanov Kiril B.,Kiril Chukanov,2001-11-21,2001-11-21,2003-05-22,,https://patents.google.com/patent/US20030094911A1/en,https://patentimages.storage.googleapis.com/f8/d9/c0/d647eb818bfcd0/US20030094911A1-20030522-D00000.png
US-6936971-B2,Methods and systems for generating high energy photons or quantum energy ,"Chukanov Quantum Energy, L.L.C.",Kiril B. Chukanov,2001-11-21,2001-11-21,2005-08-30,2005-08-30,https://patents.google.com/patent/US6936971B2/en,https://patentimages.storage.googleapis.com/93/91/0b/96ca48b88240b2/US06936971-20050830-D00000.png
US-2003152186-A1,Gas-target neutron generation and applications ,"Jurczyk Brian E., Demora John M., Stubbers Robert A.","Brian Jurczyk, John DeMora, Robert Stubbers",2002-01-28,2002-01-28,2003-08-14,,https://patents.google.com/patent/US20030152186A1/en,https://patentimages.storage.googleapis.com/1a/3c/e8/4f9f4e86ae6e6f/US20030152186A1-20030814-D00000.png
US-6922455-B2,Gas-target neutron generation and applications ,"Starfire Industries Management, Inc.","Brian E. Jurczyk, John M. DeMora, Jr., Robert A. Stubbers",2002-01-28,2002-01-28,2005-07-26,2005-07-26,https://patents.google.com/patent/US6922455B2/en,https://patentimages.storage.googleapis.com/22/80/57/5d9ee72dee85b9/US06922455-20050726-D00000.png
US-6664740-B2,Formation of a field reversed configuration for magnetic and electrostatic confinement of plasma ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer",2001-02-01,2002-01-31,2003-12-16,2003-12-16,https://patents.google.com/patent/US6664740B2/en,https://patentimages.storage.googleapis.com/7e/a9/2e/2e606f5fc1117a/US06664740-20031216-D00000.png
US-2003024476-A1,Formation of a field reversed configuration for magnetic and electrostatic confinement of plasma ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer",2001-02-01,2002-01-31,2003-02-06,,https://patents.google.com/patent/US20030024476A1/en,https://patentimages.storage.googleapis.com/18/b5/18/9f4940d67ba228/US20030024476A1-20030206-D00000.png
CZ-20032067-A3,Method of and apparatus for generating field reversed configuration magnetic topology ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2004-03-17,,https://patents.google.com/patent/CZ20032067A3/en,
KR-20040008126-A,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,더 리전츠 오브 더 유니버시티 오브 캘리포니아,"로스토커노르만, 바인더바우어마이클, 쿼루시아탄, 타시리후샹, 가라테에우제비오, 바이스트릿츠키비탈리",2001-02-01,2002-02-01,2004-01-28,,https://patents.google.com/patent/KR20040008126A/en,
PT-2187712-E,Magnetic and electrostatic confinement of plasma in a field reversed confirguration ,Univ Califórnia,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Vitaly Bystritskii, Eusébio Garate",2001-02-01,2002-02-01,2015-09-23,,https://patents.google.com/patent/PT2187712E/en,
CN-1500371-A,Magnetic and electrostatic confinement of plasma in field reversed configuration ,"�Ϻ���ͨ��ѧ, 加州大学评议会","N����˹�п�, N·罗斯托克, ±���, M·宾德鲍尔,  , A·克鲁施, H·塔西里, E·加拉特, V·拜斯特里特斯基",2001-02-01,2002-02-01,2004-05-26,,https://patents.google.com/patent/CN1500371A/en,https://patentimages.storage.googleapis.com/37/ca/68/b5210e9fa56270/A0280779100543.png
PL-363361-A1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2004-11-15,,https://patents.google.com/patent/PL363361A1/en,
ES-2550217-T3,Magnetic and electrostatic plasma confinement in an inverted field configuration ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-11-05,2015-11-05,https://patents.google.com/patent/ES2550217T3/en,
ES-2344193-T3,PLASMA MAGNETIC AND ELECTROSTATIC CONFINATION IN A FIELD INVESTED CONFIGURATION ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-08-20,2010-08-20,https://patents.google.com/patent/ES2344193T3/en,
EP-2187712-A3,Magnetic and electrostatic confinement of plasma in a field reversed confirguration ,The Regents of the University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2012-10-31,,https://patents.google.com/patent/EP2187712A3/en,
EP-2187713-B9,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents of The University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-11-04,2015-11-04,https://patents.google.com/patent/EP2187713B9/en,https://patentimages.storage.googleapis.com/bd/7f/1a/c1643a8670238e/imgf0001.png
EP-2187713-A3,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents of the University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2013-05-08,,https://patents.google.com/patent/EP2187713A3/en,
KR-100883621-B1,A method of confining a plasma of ions and electrons ,더 리전츠 오브 더 유니버시티 오브 캘리포니아,"노르만 로스토커, 마이클 바인더바우어, 아탄 쿼루시, 후샹 타시리, 에우제비오 가라테, 비탈리 바이스트릿츠키",2001-02-01,2002-02-01,2009-02-13,2009-02-13,https://patents.google.com/patent/KR100883621B1/en,https://patentimages.storage.googleapis.com/f0/4a/9d/48e2eb8c59c59b/112007009880455-pat00160.png
SG-149686-A1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2009-02-27,,https://patents.google.com/patent/SG149686A1/en,
JP-4112983-B2,Magnetic and electrostatic confinement of plasma in magnetic field reversal configuration ,ザ・レジェンツ・オブ・ザ・ユニバーシティ・オブ・カリフォルニア,"ノーマン ロストーカー，, ミクル ビンダーバウアー，, アルタン ケルシ，, フーシャン ターシリ，, ユスビオ ガレート，, ビタリー ビスチュリスキー，",2001-02-01,2002-02-01,2008-07-02,2008-07-02,https://patents.google.com/patent/JP4112983B2/en,https://patentimages.storage.googleapis.com/86/6c/fe/4fab0da18323fc/0004112983-148.png
EP-2187712-A2,Magnetic and electrostatic confinement of plasma in a field reversed confirguration ,The Regents of the University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-05-19,,https://patents.google.com/patent/EP2187712A2/en,https://patentimages.storage.googleapis.com/f5/93/c4/f3c4f34d42c488/imgf0001.png
SK-50292012-A3,Method of confining plasma comprising plurality of ions and electrons ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2004-04-06,,https://patents.google.com/patent/SK50292012A3/en,
EA-011288-B1,"Method for containing plasma, contains electrons and ions, into a chamber ",Дзе Риджентс Оф Дзе Юниверсити Оф Калифорния,"Норман Ростокер, Михль Биндербауер, Артан Керуши, Хоошанг Тахсири, Эусебио Гарате, Виталий Быстрицкий",2001-02-01,2002-02-01,2009-02-27,,https://patents.google.com/patent/EA011288B1/en,
DE-60235959-D1,IN A FORMATION WITH INVERTED FIELD ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-05-27,2010-05-27,https://patents.google.com/patent/DE60235959D1/en,
NZ-527344-A,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2005-05-27,,https://patents.google.com/patent/NZ527344A/en,
IL-157159-A0,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,Univ California,,2001-02-01,2002-02-01,2004-02-08,,https://patents.google.com/patent/IL157159A0/en,
ES-2550800-T3,Magnetic and electrostatic plasma confinement in an inverted field configuration ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-11-12,2015-11-12,https://patents.google.com/patent/ES2550800T3/en,
CA-2437360-C,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii, The Regents Of The University Of California","Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-04-14,2015-04-14,https://patents.google.com/patent/CA2437360C/en,
CZ-305458-B6,Method of and apparatus for generating field reversed configuration magnetic topology ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-10-07,,https://patents.google.com/patent/CZ305458B6/en,
BR-PI0216000-B1,METHOD FOR CONTAINING PLASMA OF IONS AND ELECTRONS WITHIN THE CAMERA ,The Regents Of The University Of California,"Rostoker Norman, Binderbauer Michl, Qerushi Artan, Tahsiri Hooshang, Garate Eusebio, Bystritskii Vitaly",2001-02-01,2002-02-01,2017-10-17,,https://patents.google.com/patent/BRPI0216000B1/en,
EA-006325-B1,System and method of magnetic and electrostatic confinement of plasma in a field reversed configuration ,Дзе Риджентс Оф Дзе Юниверсити Оф Калифорния,"Норман Ростокер, Михль Биндербауер, Артан Керуши, Хоошанг Тахсири, Эусебио Гарате, Виталий Быстрицкий",2001-02-01,2002-02-01,2005-12-29,,https://patents.google.com/patent/EA006325B1/en,
JP-2004538444-A,Magnetic and electrostatic confinement of plasma in field reversal configuration ,ザ  リージェンツ  オブ  ザ  ユニバーシティ  オブ  カリフォルニア,"ノーマン ロストーカー，, ミクル ビンダーバウアー，, アルタン ケルシ，, フーシャン ターシリ，, ユスビオ ガレート，, ビタリー ビスチュリスキー，",2001-02-01,2002-02-01,2004-12-24,,https://patents.google.com/patent/JP2004538444A/en,https://patentimages.storage.googleapis.com/89/ee/db/99517f0715315a/2004538444-149.png
DK-1356717-T3,Magnetic and electrostatic plasma restriction in a reverse field device ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-08-02,2010-08-02,https://patents.google.com/patent/DK1356717T3/en,
DK-2187713-T3,MAGNETIC AND ELECTROSTATIC CONTAINMENT OF PLASMA IN AN REVERSE FIELD CONFIGURATION ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-08-10,2015-08-10,https://patents.google.com/patent/DK2187713T3/en,
DK-2187712-T3,MAGNETIC AND ELECTROSTATIC PLASMA LIMITATION IN A FIELD-REVERSE CONFIGURATION ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-08-31,2015-08-31,https://patents.google.com/patent/DK2187712T3/en,
KR-100883619-B1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,더 리전츠 오브 더 유니버시티 오브 캘리포니아,"로스토커노르만, 바인더바우어마이클, 쿼루시아탄, 타시리후샹, 가라테에우제비오, 바이스트릿츠키비탈리",2001-02-01,2002-02-01,2009-02-13,2009-02-13,https://patents.google.com/patent/KR100883619B1/en,https://patentimages.storage.googleapis.com/21/b8/cb/107c9f52698448/112003028677399-pct00160.png
EA-200500956-A1,METHOD OF CONTAINING A PLASMA WITH ELECTRONS AND IONS IN THE CHAMBER ,Дзе Риджентс Оф Дзе Юниверсити Оф Калифорния,"Норман Ростокер, Михль Биндербауер, Артан Керуши, Хоошанг Тахсири, Эусебио Гарате, Виталий Быстрицкий",2001-02-01,2002-02-01,2005-10-27,,https://patents.google.com/patent/EA200500956A1/en,
EP-1356717-A2,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2003-10-29,,https://patents.google.com/patent/EP1356717A2/en,
EP-2187713-B1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents of The University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-07-22,2015-07-22,https://patents.google.com/patent/EP2187713B1/en,https://patentimages.storage.googleapis.com/d8/36/9c/bef36955bdbfb9/imgf0001.png
EP-2187712-B1,Magnetic and electrostatic confinement of plasma in a field reversed confirguration ,The Regents of The University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2015-07-15,2015-07-15,https://patents.google.com/patent/EP2187712B1/en,https://patentimages.storage.googleapis.com/aa/7a/da/b2d0b83e05ce9b/imgf0001.png
EA-200300853-A1,METHOD AND DEVICE OF MAGNETIC AND ELECTROSTATIC HOLDING OF A PLASMA IN A CONFIGURATION WITH A TREATED FIELD ,Дзе Риджентс Оф Дзе Юниверсити Оф Калифорния,"Норман Ростокер, Михль Биндербауер, Артан Керуши, Хоошанг Тахсири, Эусебио Гарате, Виталий Быстрицкий",2001-02-01,2002-02-01,2003-12-25,,https://patents.google.com/patent/EA200300853A1/en,
EP-1356717-B1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-04-14,2010-04-14,https://patents.google.com/patent/EP1356717B1/en,https://patentimages.storage.googleapis.com/58/31/77/095a4170f923bf/imgf0001.png
PL-206448-B1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,Univ California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-08-31,,https://patents.google.com/patent/PL206448B1/en,
EP-2187713-A2,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents of the University of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2010-05-19,,https://patents.google.com/patent/EP2187713A2/en,https://patentimages.storage.googleapis.com/52/94/e3/4079357c794c1c/imgf0001.png
SK-288442-B6,Method of confining plasma comprising plurality of ions and electrons ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2017-01-03,,https://patents.google.com/patent/SK288442B6/en,
WO-02062112-A8,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,"Univ California, Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii","Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2004-02-12,,https://patents.google.com/patent/WO2002062112A8/en,
AU-2002245362-C1,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents Of The University Of California,"Michl Binderbauer, Vitaly Bystritskii, Eusebio Garate, Artan Qerushi, Norman Rostoker, Hooshang Tahsiri",2001-02-01,2002-02-01,2008-08-07,2008-08-07,https://patents.google.com/patent/AU2002245362C1/en,
KR-20070020157-A,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,더 리전츠 오브 더 유니버시티 오브 캘리포니아,"노르만 로스토커, 마이클 바인더바우어, 아탄 쿼루시, 후샹 타시리, 에우제비오 가라테, 비탈리 바이스트릿츠키",2001-02-01,2002-02-01,2007-02-16,,https://patents.google.com/patent/KR20070020157A/en,https://patentimages.storage.googleapis.com/84/20/81/28f6e4c0d64bcb/112007009880455-PAT00160.png
WO-02062112-A2,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2002-02-01,2002-08-08,,https://patents.google.com/patent/WO2002062112A2/en,
